item,title,url
SOCKS,Socks | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Socks
BACKPACKS,Backpacks | Bags | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/bags/backpacks/
LIFESTYLE,Lifestyle,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle
ECO+FRIENDLY,Eco-Friendly | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/eco+friendly
BAGS,Bags | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags
KIDS,Kids | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids
MENS+T+SHIRTS,Men's T-Shirts | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts
NOTEBOOKS,Notebooks | Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Notebooks
SHOP+BY+BRAND,Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand
GIFT+CARDS,Gift Cards | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Gift+Cards
MUGS+TUMBLERS,Mugs & Tumblers | Drinkware | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Mugs+Tumblers
KIDS+INFANT,Infant | Kids' Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids/Kids+Infant
BLM,Black Lives Matter | Google Merchandise Store,https://shop.googlemerchandisestore.com/BLM
CLEARANCE,Sale | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Clearance
APPAREL,Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel
STATIONERY,Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery
CAMPUS+COLLECTION,Campus Collection | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection
WRITING,Writing | Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Writing
YOUTUBE,YouTube | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube
HATS,Hats | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats
ANDROID,Android | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Android
WATER+BOTTLES,Water Bottles | Drinkware | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Water+Bottles
SMALL+GOODS,Small Goods | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Small+Goods
MENS,Men's / Unisex | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens
NEW,New | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/New
DRINKWARE,Drinkware | Lifestyle | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware
WOMENS,Womens | Apparel | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens
GOOGLE,Google | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google
STICKERS,Stickers | Stationery | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers
I+AM+REMARKABLE,#IamRemarkable | Shop by Brand | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/I+am+Remarkable
OFFICE,Office | Google Merchandise Store,https://shop.googlemerchandisestore.com/Google+Redesign/Office
